LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INTERNET,TOT,PC_HH,A,2005,60,
AUS,INTERNET,TOT,PC_HH,A,2006,64,
AUS,INTERNET,TOT,PC_HH,A,2007,67,
AUS,INTERNET,TOT,PC_HH,A,2008,72,
AUS,INTERNET,TOT,PC_HH,A,2010,78.92,
AUS,INTERNET,TOT,PC_HH,A,2012,83,
AUS,INTERNET,TOT,PC_HH,A,2014,85.89,
AUS,INTERNET,TOT,PC_HH,A,2016,86.11,
USA,INTERNET,TOT,PC_HH,A,2007,61.78,
USA,INTERNET,TOT,PC_HH,A,2009,68.69,
USA,INTERNET,TOT,PC_HH,A,2010,71.06,
USA,INTERNET,TOT,PC_HH,A,2011,71.7,
USA,INTERNET,TOT,PC_HH,A,2012,74.76,
USA,INTERNET,TOT,PC_HH,A,2015,73.37,
USA,INTERNET,TOT,PC_HH,A,2017,77.97,
USA,INTERNET,TOT,PC_HH,A,2019,79.88,
DEU,INTERNET,TOT,PC_HH,A,2005,61.64,
DEU,INTERNET,TOT,PC_HH,A,2007,70.67,
DEU,INTERNET,TOT,PC_HH,A,2009,79.07,
DEU,INTERNET,TOT,PC_HH,A,2011,83.25,
DEU,INTERNET,TOT,PC_HH,A,2013,87.75,
DEU,INTERNET,TOT,PC_HH,A,2015,90.29,
DEU,INTERNET,TOT,PC_HH,A,2017,92.86,
DEU,INTERNET,TOT,PC_HH,A,2019,94.83,
GBR,INTERNET,TOT,PC_HH,A,2005,60.23,
GBR,INTERNET,TOT,PC_HH,A,2007,66.72,
GBR,INTERNET,TOT,PC_HH,A,2009,76.69,
GBR,INTERNET,TOT,PC_HH,A,2011,82.70,
GBR,INTERNET,TOT,PC_HH,A,2013,88.45,
GBR,INTERNET,TOT,PC_HH,A,2015,91.25,
GBR,INTERNET,TOT,PC_HH,A,2017,93.99,
GBR,INTERNET,TOT,PC_HH,A,2019,95.85,
JPN,INTERNET,TOT,PC_HH,A,2005,57,
JPN,INTERNET,TOT,PC_HH,A,2006,60.5,
JPN,INTERNET,TOT,PC_HH,A,2007,62.1,
JPN,INTERNET,TOT,PC_HH,A,2008,63.9,
JPN,INTERNET,TOT,PC_HH,A,2009,67.1,
JPN,INTERNET,TOT,PC_HH,A,2010,75.2,
JPN,INTERNET,TOT,PC_HH,A,2012,80.7,
JPN,INTERNET,TOT,PC_HH,A,2014,84.6,
CAN,INTERNET,TOT,PC_HH,A,2005,64.3,
CAN,INTERNET,TOT,PC_HH,A,2007,72.7,
CAN,INTERNET,TOT,PC_HH,A,2009,77.8,
CAN,INTERNET,TOT,PC_HH,A,2011,81.6,
CAN,INTERNET,TOT,PC_HH,A,2013,83.9,
CAN,INTERNET,TOT,PC_HH,A,2015,88.0,
CAN,INTERNET,TOT,PC_HH,A,2017,90.4,
CAN,INTERNET,TOT,PC_HH,A,2019,92.2,
FRA,INTERNET,TOT,PC_HH,A,2006,40.9,
FRA,INTERNET,TOT,PC_HH,A,2008,62.3,
FRA,INTERNET,TOT,PC_HH,A,2010,73.6,
FRA,INTERNET,TOT,PC_HH,A,2012,80.0,
FRA,INTERNET,TOT,PC_HH,A,2014,82.96,
FRA,INTERNET,TOT,PC_HH,A,2016,85.87,
FRA,INTERNET,TOT,PC_HH,A,2018,88.56,
FRA,INTERNET,TOT,PC_HH,A,2019,90.17,
ESP,INTERNET,TOT,PC_HH,A,2005,35.51,
ESP,INTERNET,TOT,PC_HH,A,2007,43.48,
ESP,INTERNET,TOT,PC_HH,A,2009,52.93,
ESP,INTERNET,TOT,PC_HH,A,2011,62.71,
ESP,INTERNET,TOT,PC_HH,A,2013,69.73,
ESP,INTERNET,TOT,PC_HH,A,2015,78.75,
ESP,INTERNET,TOT,PC_HH,A,2017,83.39,
ESP,INTERNET,TOT,PC_HH,A,2019,91.44,
SWE,INTERNET,TOT,PC_HH,A,2005,72.53,
SWE,INTERNET,TOT,PC_HH,A,2007,78.55,
SWE,INTERNET,TOT,PC_HH,A,2009,85.98,
SWE,INTERNET,TOT,PC_HH,A,2011,90.64,
SWE,INTERNET,TOT,PC_HH,A,2013,92.59,
SWE,INTERNET,TOT,PC_HH,A,2015,91.03,
SWE,INTERNET,TOT,PC_HH,A,2017,94.73,
SWE,INTERNET,TOT,PC_HH,A,2019,96.06,
KOR,INTERNET,TOT,PC_HH,A,2005,92.73,
KOR,INTERNET,TOT,PC_HH,A,2007,94.13,
KOR,INTERNET,TOT,PC_HH,A,2009,95.90,
KOR,INTERNET,TOT,PC_HH,A,2011,97.23,
KOR,INTERNET,TOT,PC_HH,A,2013,98.14,
KOR,INTERNET,TOT,PC_HH,A,2015,98.78,
KOR,INTERNET,TOT,PC_HH,A,2017,99.50,
KOR,INTERNET,TOT,PC_HH,A,2019,99.69
